true_label,predicted_label,fraud_probability
0,0,0.0034532101099942194
0,0,0.009302430449890707
0,0,0.00826717373247213
0,0,0.0037418886218161355
0,0,0.0041871903971591054
0,0,0.026695490858458935
0,0,0.0038907186593002832
0,0,0.003240567291345377
0,0,0.0033093342193661907
0,0,0.004509328464184571
0,0,0.0032391472513223878
0,0,0.06319395647814843
0,0,0.007923104538295764
0,0,0.007473809563496256
0,0,0.003989060073290951
0,0,0.03244536786972702
0,0,0.004009161381555187
0,0,0.006805151768802962
0,0,0.005251744520005326
0,0,0.009323150972342379
0,0,0.0041620410782254175
0,0,0.0036010192866081942
0,0,0.0055392642527883895
0,0,0.003439912930206429
0,0,0.011176409777284416
0,0,0.0031914171135738706
0,0,0.009013744346080384
0,0,0.003190409485411912
0,0,0.007282671958333089
0,0,0.00590367802690751
0,0,0.003197372841208448
0,0,0.003354278941401582
0,0,0.0031986981703791854
0,0,0.3127630384112753
0,0,0.0034220169345447133
0,0,0.0054515289880104475
0,0,0.0031956257774644285
0,0,0.03334762085729284
0,0,0.004653748392459922
0,0,0.008737088231827221
0,0,0.004290615289520728
0,0,0.005169033198659227
0,0,0.010849297715575634
0,0,0.030644273453899376
0,0,0.007382732725672192
0,0,0.003300455716993439
0,0,0.0033694763048696653
0,0,0.0033556333589082198
0,0,0.0031964410898498302
0,0,0.004259974104812013
0,0,0.00935666041112993
0,0,0.004108039044634723
0,0,0.003215292139072745
0,0,0.0034614297180479386
0,0,0.0052402068937770436
0,0,0.00885704026769378
0,0,0.04843397576696985
0,0,0.004437306539360308
1,1,0.902112712351087
0,0,0.007830582692545452
0,0,0.003231698393600991
0,0,0.011573729568293105
1,1,0.8704407238252349
0,0,0.0036242478112140553
0,0,0.0186879571775852
0,0,0.006276222197721086
0,0,0.008522601327990039
0,0,0.003336171008994968
0,0,0.003299125042660455
0,0,0.0037009828534715246
0,0,0.0037587847871673194
0,0,0.003204033130553621
0,0,0.004253565197851349
0,0,0.003199206583927492
0,0,0.003206766894223251
0,0,0.006035856132510815
0,0,0.0032045094226192286
0,0,0.004445295881517145
0,0,0.003975092210470021
0,0,0.0032645894078683338
0,0,0.005485570886200532
